Crop,Min_Optimal_Temp,Max_Optimal_Temp,Min_Absolute_Temp,Max_Absolute_Temp,Min_Optimal_Rainfall,Max_Optimal_Rainfall,Min_Survival_Rainfall,Min_Optimal_pH,Max_Optimal_pH,Min_Tolerated_pH,Max_Tolerated_pH,Min_Optimal_Humidity,Max_Optimal_Humidity,Drainage_Requirement,Soil_Texture_Preference,Nitrogen_Requirement,Phosphorus_Requirement,Potassium_Requirement,Min_Elevation,Max_Elevation,Min_Optimal_Moisture,Max_Optimal_Moisture,Soil_CEC_Preference,Frost_Sensitive,Salinity_Tolerance,Max_Tolerable_Wind
Rice,23.0,27.0,20.0,35.0,1625,2375,875,5.6,6.0,5.3,6.3,55,85,Poor,Clayey,300,250,200,0,2000,400,500,High,No,Low,10.5
Rice Bean,21.0,21.0,18.0,29.0,650,950,350,5.8,6.2,5.5,6.5,50,70,Moderate,Loamy,120,150,180,0,2000,256,320,Medium,No,Low,5.0
Ridge Gourd,27.0,26.0,24.0,34.0,748,1093,403,6.2,6.6,5.9,6.9,54,74,Moderate,Loamy,130,110,160,0,500,304,380,Medium,No,Low,5.0
Roselle,22.0,26.0,19.0,34.0,618,903,333,6.1,6.5,5.8,6.8,40,70,Moderate,Clayey,280,230,250,0,1000,288,360,High,No,Low,13.0
Rosemary,17.5,21.5,14.5,29.5,553,808,298,5.9,6.3,5.6,6.6,40,70,Moderate,Loamy,255,205,225,0,1500,268,335,Medium,No,Low,13.0
Rubber,25.0,25.0,22.0,33.0,1625,2375,875,5.3,5.7,5.0,6.0,60,80,Moderate,Loamy,200,150,180,0,600,304,380,Medium,No,Low,6.0
Rye,15.0,19.0,12.0,27.0,585,855,315,5.9,6.3,5.6,6.6,50,80,Moderate,Loamy,245,185,210,0,2500,264,330,Medium,No,Low,12.0
Safflower,21.5,25.5,18.5,33.5,507,741,273,6.5,6.9,6.2,7.2,33,63,Moderate,Loamy,275,225,235,0,1500,248,310,Medium,No,Moderate,14.5
Saffron,8.0,17.0,5.0,25.0,195,285,105,6.8,7.2,6.5,7.5,20,40,Well-drained,Sandy,80,60,100,0,2000,160,200,Low,No,High,4.0
Sage,19.0,20.0,16.0,28.0,468,684,252,6.0,6.4,5.7,6.7,47,67,Well-drained,Sandy,75,55,95,0,1500,208,260,Low,No,Low,4.1
Sesame,20.0,24.0,17.0,32.0,527,770,284,6.3,6.7,6.0,7.0,36,66,Moderate,Loamy,270,220,230,0,1000,256,320,Medium,No,Moderate,15.2
Shallot,17.0,17.0,14.0,25.0,449,656,242,6.3,6.7,6.0,7.0,44,64,Well-drained,Sandy,120,90,110,0,1000,232,290,Low,No,Moderate,4.0
Sisal,21.0,25.0,18.0,33.0,605,884,326,5.8,6.2,5.5,6.5,35,65,Moderate,Loamy,270,220,240,0,1500,280,350,Medium,No,Low,14.2
Snake Gourd,23.0,23.0,20.0,31.0,650,950,350,5.9,6.3,5.6,6.6,50,70,Well-drained,Sandy,100,80,120,0,500,240,300,Low,No,Low,4.7
Sorghum,23.0,27.0,20.0,35.0,488,713,263,6.3,6.7,6.0,7.0,32,62,Moderate,Loamy,245,185,210,0,2400,264,330,Medium,No,Moderate,16.0
Soursop,25.0,24.0,22.0,32.0,975,1425,525,5.8,6.2,5.5,6.5,55,75,Moderate,Loamy,180,120,180,0,1000,304,380,Medium,No,Low,5.0
Soybean,20.5,24.5,17.5,32.5,715,1045,385,6.0,6.4,5.7,6.7,35,65,Moderate,Loamy,270,210,225,0,1500,288,360,Medium,No,Low,11.8
Spelt,16.5,20.5,13.5,28.5,566,827,305,6.0,6.4,5.7,6.7,47,76,Moderate,Loamy,250,200,220,0,1500,264,330,Medium,No,Low,12.8
Spinach,15.0,15.0,12.0,23.0,455,665,245,5.8,6.2,5.5,6.5,45,65,Well-drained,Sandy,150,180,200,0,2500,240,300,Low,No,Low,4.5
Stevia,17.0,21.0,14.0,29.0,585,855,315,5.9,6.3,5.6,6.6,50,79,Moderate,Loamy,250,200,220,0,1000,264,330,Medium,No,Low,12.0
Strawberry,11.5,15.5,8.5,23.5,780,1140,420,5.5,5.9,5.2,6.2,55,85,Moderate,Loamy,250,200,220,0,1500,280,350,Medium,No,Low,10.5
Sugar Beet,18.5,22.5,15.5,30.5,598,874,322,6.3,6.7,6.0,7.0,44,72,Moderate,Loamy,270,220,240,0,1800,280,350,Medium,No,Moderate,12.8
Sugarcane,24.5,28.5,21.5,36.5,1950,2850,1050,5.8,6.2,5.5,6.5,50,80,Poor,Clayey,320,270,260,0,1500,480,600,High,No,Low,9.5
Sunflower,22.5,26.5,19.5,34.5,520,760,280,6.6,7.0,6.3,7.3,35,65,Moderate,Loamy,270,220,230,0,1000,248,310,Medium,No,Moderate,15.5
Sunn Hemp,21.0,21.0,18.0,29.0,650,950,350,5.8,6.2,5.5,6.5,50,70,Moderate,Loamy,180,120,150,0,1200,280,350,Medium,No,Low,5.0
Sweet Potato,21.0,21.0,18.0,29.0,650,950,350,5.8,6.2,5.5,6.5,45,65,Well-drained,Sandy,80,60,100,0,2000,240,300,Low,No,Low,4.5
Sweet Sorghum,19.5,23.5,16.5,31.5,592,865,319,6.0,6.4,5.7,6.7,42,71,Moderate,Loamy,265,215,235,0,2400,276,345,Medium,No,Low,13.2
Tamarind,21.0,25.0,18.0,33.0,624,912,336,5.9,6.3,5.6,6.6,47,77,Moderate,Clayey,290,240,260,0,500,296,370,High,No,Low,13.5
Taro,25.0,24.0,22.0,32.0,1300,1900,700,5.8,6.2,5.5,6.5,60,80,Moderate,Loamy,150,100,180,0,2000,320,400,Medium,No,Low,5.5
Tea,15.0,19.0,12.0,27.0,1430,2090,770,5.3,5.7,5.0,6.0,60,90,Poor,Clayey,280,240,220,600,2000,360,450,High,No,Low,8.8
Teff,17.0,21.0,14.0,29.0,579,846,312,5.9,6.3,5.6,6.6,46,74,Moderate,Loamy,245,195,215,1800,2800,252,315,Medium,No,Low,12.2
Thyme,17.0,21.0,14.0,29.0,566,827,305,6.2,6.6,5.9,6.9,44,74,Moderate,Loamy,250,200,220,0,1500,264,330,Medium,No,Low,12.5
Tomato,19.5,23.5,16.5,31.5,845,1235,455,6.0,6.4,5.7,6.7,48,78,Moderate,Clayey,290,210,230,0,2000,304,380,High,No,Low,12.0
Triticale,18.5,22.5,15.5,30.5,572,836,308,6.1,6.5,5.8,6.8,44,73,Moderate,Loamy,255,205,225,0,2500,268,335,Medium,No,Low,13.0
Turmeric,25.0,24.0,22.0,32.0,1170,1710,630,6.3,6.7,6.0,7.0,65,80,Moderate,Loamy,250,200,250,0,1300,320,400,Medium,No,Moderate,5.0
Turnip,13.0,13.0,10.0,21.0,429,627,231,5.9,6.3,5.6,6.6,39,59,Well-drained,Sandy,95,65,95,0,2000,212,265,Low,No,Low,3.6
Vanilla,19.0,23.0,16.0,31.0,650,950,350,5.9,6.3,5.6,6.6,44,74,Moderate,Loamy,280,230,250,0,1500,304,380,Medium,No,Low,13.0
Velvet Bean,27.0,26.0,24.0,34.0,910,1330,490,6.1,6.5,5.8,6.8,60,80,Moderate,Loamy,120,100,150,0,1200,320,400,Medium,No,Low,4.9
Walnut,17.0,21.0,14.0,29.0,585,855,315,6.1,6.5,5.8,6.8,40,70,Moderate,Loamy,250,200,220,700,2000,280,350,Medium,No,Low,12.5
Watermelon,22.0,26.0,19.0,34.0,618,903,333,5.8,6.2,5.5,6.5,40,70,Moderate,Clayey,280,230,250,0,500,288,360,High,No,Low,13.0
Wax Gourd,26.0,25.0,23.0,33.0,1170,1710,630,5.8,6.2,5.5,6.5,55,75,Poor,Loamy,140,120,170,0,500,360,450,Medium,No,Low,5.5
Wheat,18.0,22.5,15.0,30.5,780,1140,420,5.8,6.2,5.5,6.5,40,70,Moderate,Loamy,250,200,220,0,3500,280,350,Medium,No,Low,12.5
Winged Bean,25.0,24.0,22.0,32.0,780,1140,420,5.8,6.2,5.5,6.5,50,70,Moderate,Loamy,100,80,120,0,1500,280,350,Medium,No,Low,4.8
Yam,25.0,24.0,22.0,32.0,975,1425,525,6.3,6.7,6.0,7.0,50,70,Moderate,Loamy,120,80,150,0,1500,280,350,Medium,No,Moderate,5.0
Yam Bean,15.0,15.0,12.0,23.0,423,618,228,6.0,6.4,5.7,6.7,40,60,Well-drained,Sandy,100,70,90,0,1500,216,270,Low,No,Low,3.7
Zucchini,19.5,23.5,16.5,31.5,585,855,315,5.9,6.3,5.6,6.6,47,76,Moderate,Loamy,250,200,220,0,200,264,330,Medium,No,Low,12.5
