Disease_Name,Crop_Host(s),Min_Optimal_Temp,Max_Optimal_Temp,Min_Optimal_Humidity,Max_Optimal_Humidity,Min_Rainfall_mm,Max_Rainfall_mm,Min_Soil_Moisture,Max_Soil_Moisture,Soil_pH_Preference,Other_Factors
Anthracnose (Colletotrichum gloeosporioides),Brazil Nut;Mango;Avocado,24,30,85,98,20,40,50,80,4.5-6.0,"Warm, humid conditions; Rain splash; Affects flowers, young fruit, leaves"
Branch Canker / Dieback (Lasiodiplodia theobromae),Brazil Nut;Many Tropical Trees,28,35,75,95,10,30,40,70,4.5-6.0,"Plant stress (drought, injury); High temperatures; High humidity; Wounds"
Fruit Rot (Phytophthora spp.; Rhizopus spp.),Breadfruit,25,30,90,100,25,50,55,85,5.5-7.0,"High humidity; Frequent rainfall; Warm temperatures; Poor air circulation; Insect damage can predispose"
Anthracnose (Colletotrichum gloeosporioides),Breadfruit;Mango;Avocado,24,30,85,98,20,40,50,80,5.5-7.0,"Warm, humid conditions; Rain splash; Affects mainly fruit, can affect leaves/stems"
Stem-end Rot (Lasiodiplodia theobromae; Phomopsis spp.),Breadfruit;Mango;Avocado,28,35,75,95,15,35,40,70,5.5-7.0,"Post-harvest disease primarily; Infection may occur earlier; Favored by warm storage/transport; Injury"
Downy Mildew (Hyaloperonospora parasitica),Broccoli;Cabbage;Cauliflower;Kale,10,18,90,100,10,30,50,80,6.0-7.5,"Cool, moist conditions; High humidity; Leaf wetness essential for infection; Splashing water; Wind dispersal"
Black Rot (Xanthomonas campestris pv. campestris),Broccoli;Cabbage;Cauliflower;Other Brassicas,25,30,85,95,15,35,45,75,6.0-7.5,"Warm, wet conditions; Rain splash; Wind; Spread via infected seed, transplants, debris; Enters through hydathodes"
Alternaria Leaf Spot (Alternaria brassicicola/brassicae),Broccoli;Cabbage;Cauliflower;Other Brassicas,20,30,85,98,15,35,40,70,5.5-7.0,"Moderate to warm temperatures; High humidity; Leaf wetness duration > 8 hours; Plant stress; Infected debris/seed"
Clubroot (Plasmodiophora brassicae),Broccoli;Cabbage;Cauliflower;Other Brassicas;Weeds,18,25,80,95,15,35,50,85,5.0-6.5,"Cool, wet soils; Acidic soil strongly favors disease; Soilborne pathogen; Long survival of resting spores"
White Rust (Albugo candida),Broccoli;Radish;Mustard;Other Brassicas,12,22,85,95,10,25,40,70,6.0-7.5,"Cool, moist weather; Dew or fog; Leaf wetness; Can be systemic or cause local lesions"
Downy Mildew (Peronospora spp.),Buckwheat,10,20,90,100,10,30,50,80,5.5-7.0,"Cool, moist conditions; High humidity; Leaf wetness; Similar to brassica downy mildew"
Botrytis Blight / Gray Mold (Botrytis cinerea),Buckwheat;Many Crops,18,24,90,100,15,35,50,80,5.5-7.0,"Cool, moist conditions; High humidity; Dense canopy; Affects flowers, stems"
Leaf Spot (Ramularia/Septoria spp.),Buckwheat,15,25,85,95,10,30,40,70,5.5-7.0,"Cool to moderate temperatures; Wet weather; Rain splash; Overwinters on debris"
Black Rot (Xanthomonas campestris pv. campestris),Cabbage;Broccoli;Cauliflower;Other Brassicas,25,30,85,95,15,35,45,75,6.0-7.5,"Warm, wet conditions; Rain splash; Wind; Spread via infected seed, transplants, debris; Enters through hydathodes"
Clubroot (Plasmodiophora brassicae),Cabbage;Broccoli;Cauliflower;Other Brassicas;Weeds,18,25,80,95,15,35,50,85,5.0-6.5,"Cool, wet soils; Acidic soil strongly favors disease; Soilborne pathogen; Long survival of resting spores"
Downy Mildew (Hyaloperonospora parasitica),Cabbage;Broccoli;Cauliflower;Kale,10,18,90,100,10,30,50,80,6.0-7.5,"Cool, moist conditions; High humidity; Leaf wetness essential for infection; Splashing water; Wind dispersal"
Alternaria Leaf Spot (Alternaria brassicicola/brassicae),Cabbage;Broccoli;Cauliflower;Other Brassicas,20,30,85,98,15,35,40,70,5.5-7.0,"Moderate to warm temperatures; High humidity; Leaf wetness duration > 8 hours; Plant stress; Infected debris/seed"
Fusarium Yellows / Wilt (Fusarium oxysporum f.sp. conglutinans),Cabbage;Other Brassicas,24,29,70,90,10,25,40,80,5.5-7.0,"Warm soil temperatures; Soilborne; Persists in soil for years; Acidic soils may favor"
Black Pod Rot (Phytophthora palmivora/megakarya/capsici),Cacao,22,28,95,100,30,60,60,90,5.0-6.5,"High humidity; Frequent rainfall; Water splash; Insect vectors (minor role); Contact with infected soil/debris"
Witches' Broom (Moniliophthora perniciosa),Cacao,23,27,85,95,20,40,50,80,5.0-6.5,"High humidity; Rainfall needed for basidiospore release; Affects actively growing tissues (cushions, pods, shoots)"
Frosty Pod Rot (Moniliophthora roreri),Cacao,25,30,90,100,25,50,55,85,5.0-6.5,"High humidity; Rainfall for spore dispersal; Affects pods only; Spores are dry and powdery"
Vascular Streak Dieback (VSD - Oncobasidium theobromae / Ceratobasidium theobromae),Cacao,20,25,90,95,20,40,50,80,5.0-6.5,"Cooler temperatures within range; High humidity; Wind-borne spores; Affects young leaves/shoots"
Cacao Swollen Shoot Virus (CSSV),Cacao,25,32,70,90,15,35,40,75,5.0-7.0,"Vector presence (Mealybugs); Plant stress may increase susceptibility; Spread via infected planting material and vectors"
Blackleg (Leptosphaeria maculans / Phoma lingam),Canola;Other Brassicas,20,25,80,95,15,30,40,75,5.5-7.5,"Moderate temperatures; Wet conditions for spore release/infection; Rain splash (pycnidiospores); Wind (ascospores); Infected stubble/seed"
Sclerotinia Stem Rot (Sclerotinia sclerotiorum),Canola;Sunflower;Soybean;Bean;Many Broadleaf Crops,15,25,90,100,20,40,60,90,5.5-7.0,"Cool, moist conditions during flowering; High humidity; Dense canopy; Soilborne sclerotia germinate to produce apothecia"
Alternaria Black Spot (Alternaria brassicae/rapae),Canola;Other Brassicas,20,30,85,98,15,35,40,70,5.5-7.0,"Moderate to warm temperatures; High humidity; Leaf wetness; Affects leaves, stems, pods; Seedborne/stubble-borne"
Clubroot (Plasmodiophora brassicae),Canola;Cabbage;Broccoli;Other Brassicas;Weeds,18,25,80,95,15,35,50,85,5.0-6.5,"Cool, wet soils; Acidic soil strongly favors disease; Soilborne pathogen; Long survival of resting spores"
Downy Mildew (Hyaloperonospora parasitica),Canola;Other Brassicas,10,18,90,100,10,30,50,80,6.0-7.5,"Cool, moist conditions; High humidity; Leaf wetness essential; Often affects seedlings; Can be systemic"
Anthracnose (Colletotrichum gloeosporioides),Carambola (Starfruit);Mango;Avocado;Papaya,24,30,85,98,20,40,50,80,5.0-6.5,"Warm, humid conditions; Rain splash; High humidity; Affects flowers, fruit (causes rot), leaves"
Fruit Fly Damage (Leading to secondary rots),Carambola (Starfruit),25,32,60,85,10,30,40,70,5.0-7.0,"Presence of fruit flies (Bactrocera spp.); Warm temperatures; Oviposition wounds allow entry for rotting organisms"
Sooty Mold (Capnodium spp. / Meliola spp.),Carambola (Starfruit);Mango;Citrus;Guava,20,30,70,90,10,25,35,65,5.0-7.5,"Presence of honeydew-producing insects (aphids, scale, mealybugs); High humidity hinders washing off"
Leaf Spot (Cercospora averrhoae / Phomopsis spp.),Carambola (Starfruit),22,30,80,95,10,30,40,70,5.5-7.0,"Warm, humid conditions; Rain splash; Leaf wetness; Poor air circulation"
Katte Disease / Mosaic (Cardamom Mosaic Virus - CdMV),Cardamom,20,30,70,90,15,35,40,75,5.0-6.5,"Vector presence (Banana aphid - Pentalonia nigronervosa); Spread via infected rhizomes and vectors"
Azhukal / Capsule Rot (Phytophthora meadii/nicotianae),Cardamom,20,25,95,100,30,60,60,90,5.0-6.5,"High rainfall (monsoon); High humidity; Low temperature; Poor drainage; Water splash"
Rhizome Rot (Pythium vexans; Fusarium oxysporum; Rhizoctonia solani),Cardamom,20,30,80,95,15,35,55,90,5.0-6.5,"Poor drainage; Waterlogged soils; High soil moisture; Wounds on rhizomes; Infected planting material"
Leaf Blight / Spot (Colletotrichum gloeosporioides; Phyllosticta spp.),Cardamom,24,30,85,95,20,40,50,80,5.5-7.0,"High humidity; Rain splash; Leaf wetness; Dense planting; Poor air circulation"
Alternaria Leaf Blight (Alternaria dauci),Carrot;Parsley,20,30,85,98,15,35,40,70,5.5-7.0,"Moderate to warm temperatures; High humidity; Leaf wetness duration > 8 hours; Plant stress; Infected debris/seed"
Cercospora Leaf Blight (Cercospora carotae),Carrot;Wild Carrot,25,30,90,100,15,30,50,80,6.0-7.5,"Warm temperatures; High humidity; Frequent rain/dew; Leaf wetness duration (8+ hours); Overwinters on debris/seed"
Sclerotinia Rot / White Mold (Sclerotinia sclerotiorum),Carrot;Lettuce;Bean;Celery;Many Broadleaf Crops,15,24,90,100,20,40,60,90,5.5-7.0,"Cool, moist conditions; High humidity near soil surface; Dense canopy; Infected soil (sclerotia); Affects crowns/roots"
Cavity Spot (Pythium violae; P. sulcatum),Carrot,15,20,85,100,15,35,60,90,5.5-7.0,"Cool, wet soils; High soil moisture; Poor drainage; Soilborne oospores"
Bacterial Leaf Blight (Xanthomonas hortorum pv. carotae),Carrot;Wild Carrot,25,30,85,95,15,35,45,75,6.0-7.5,"Warm, humid conditions; Rain splash; Overhead irrigation; Infected seed"
Anthracnose (Colletotrichum gloeosporioides),Cashew;Mango;Avocado,24,30,85,98,20,40,50,80,5.0-6.5,"High humidity; Frequent rain; Leaf wetness; Affects flowers, nuts (kernel rot), young shoots (blight), apples"
Powdery Mildew (Oidium anacardii),Cashew,25,30,70,90,5,20,40,65,5.5-7.0,"Dry conditions with high humidity (morning dew); Affects flowers and young nuts, causing drop"
Dieback / Twig Blight (Lasiodiplodia theobromae; Phomopsis anacardii),Cashew;Mango;Many Woody Plants,28,35,75,95,10,30,40,70,5.0-6.5,"Plant stress (drought, poor fertility); High temperatures; Wounds (insect, pruning); High humidity"
Leaf Spot / Blossom Blight (Pestalotia spp. / Pseudocercospora anacardii),Cashew,25,30,80,95,15,35,40,75,5.0-6.5,"Humid conditions; Rain splash; Affects leaves, can also infect flowers/young shoots"
Cassava Mosaic Disease (CMD - Various Begomoviruses),Cassava,25,35,60,85,10,30,35,70,5.0-7.5,"Vector presence (Whitefly - Bemisia tabaci); High temperatures favor vector; Spread via infected cuttings and vectors"
Cassava Brown Streak Disease (CBSD - Various Ipomoviruses),Cassava,20,30,70,90,15,35,40,75,5.0-7.5,"Vector presence (Whitefly - Bemisia tabaci); Cooler temperatures may favor symptom expression?; Spread via infected cuttings and vectors"
Cassava Bacterial Blight (CBB - Xanthomonas axonopodis pv. manihotis),Cassava,25,30,85,95,20,40,45,75,5.0-7.0,"Warm, humid conditions; Rain splash; Wind-driven rain; Spread via infected cuttings, tools, contaminated soil/water"
Anthracnose (Colletotrichum gloeosporioides f.sp. manihotis),Cassava,24,30,85,98,20,40,50,80,5.0-6.5,"High humidity; Frequent rain; Affects stems (cankers) and leaves; Spread via infected cuttings, rain splash"
Superelongation Disease (Sphaceloma manihoticola),Cassava,20,28,90,100,25,50,55,85,5.0-7.0,"High humidity; Continuous rainfall; Affects young stems and petioles causing elongation and distortion"
Gray Mold / Botrytis Blight (Botrytis ricini / cinerea),Castor,18,24,90,100,15,35,50,80,5.5-7.0,"Cool, moist conditions; High humidity; Affects inflorescences (racemes) and capsules"
Seedling Blight (Phytophthora nicotianae var. parasitica),Castor,25,30,90,100,20,40,60,90,5.5-7.0,"Warm, wet conditions; Poorly drained soils; High soil moisture; Soilborne"
Bacterial Leaf Spot (Xanthomonas campestris pv. ricinicola),Castor,28,32,85,95,15,35,45,75,6.0-7.5,"Warm, humid conditions; Rain splash; Wind-driven rain; Infected seed"
Wilt (Fusarium oxysporum f.sp. ricini),Castor,25,30,70,90,10,25,40,80,5.5-7.0,"Warm soil temperatures; Soilborne; Plant stress; Persists in soil"
Rust (Melampsora ricini),Castor,20,28,85,95,10,25,40,70,6.0-7.5,"Moderate temperatures; High humidity or dew required for infection; Affects leaves"
Black Rot (Xanthomonas campestris pv. campestris),Cauliflower;Cabbage;Broccoli;Other Brassicas,25,30,85,95,15,35,45,75,6.0-7.5,"Warm, wet conditions; Rain splash; Wind; Spread via infected seed, transplants, debris; Enters through hydathodes"
Downy Mildew (Hyaloperonospora parasitica),Cauliflower;Cabbage;Broccoli;Kale,10,18,90,100,10,30,50,80,6.0-7.5,"Cool, moist conditions; High humidity; Leaf wetness essential for infection; Splashing water; Wind dispersal"
Clubroot (Plasmodiophora brassicae),Cauliflower;Cabbage;Broccoli;Other Brassicas;Weeds,18,25,80,95,15,35,50,85,5.0-6.5,"Cool, wet soils; Acidic soil strongly favors disease; Soilborne pathogen; Long survival of resting spores"
Alternaria Leaf Spot (Alternaria brassicicola/brassicae),Cauliflower;Cabbage;Broccoli;Other Brassicas,20,30,85,98,15,35,40,70,5.5-7.0,"Moderate to warm temperatures; High humidity; Leaf wetness duration > 8 hours; Plant stress; Infected debris/seed"
Ring Spot (Mycosphaerella brassicicola),Cauliflower;Cabbage;Brussels Sprouts,16,20,90,100,15,35,50,80,6.0-7.5,"Cool, moist, coastal climates; High humidity; Leaf wetness; Wind-borne spores"
Late Blight (Septoria apiicola),Celery;Celeriac,18,24,90,100,15,30,50,80,6.0-7.5,"Moderate temperatures; High humidity; Long periods of leaf wetness (10+ hours); Rain splash; Seedborne; Overwinters on debris"
Early Blight (Cercospora apii),Celery;Celeriac,15,30,85,95,10,30,40,75,6.0-7.5,"Warm, humid conditions (wider temp range than Late Blight); Leaf wetness; Rain splash; Seedborne; Overwinters on debris"
Pink Rot / Watery Soft Rot (Sclerotinia sclerotiorum),Celery;Carrot;Lettuce;Bean;Many Broadleaf Crops,15,24,90,100,20,40,60,90,5.5-7.0,"Cool, moist conditions; High humidity near soil surface; Dense canopy; Infected soil (sclerotia); Affects stalks near base"
Fusarium Yellows / Wilt (Fusarium oxysporum f.sp. apii),Celery,24,29,70,90,10,25,40,80,5.5-6.5,"Warm soil temperatures; Soilborne; Persists in soil for years; Acidic soils may favor"
Bacterial Leaf Spot (Pseudomonas syringae pv. apii),Celery,15,25,85,95,15,35,45,75,6.0-7.0,"Cool, wet conditions; Rain splash; Overhead irrigation; Infected seed or transplants"
Downy Mildew (Peronospora spp.),Chamomile;Related Asteraceae,10,20,90,100,10,30,50,80,6.0-7.0,"Cool, moist conditions; High humidity; Leaf wetness; Similar to other downy mildews"
Powdery Mildew (Golovinomyces cichoracearum / Podosphaera spp.),Chamomile;Related Asteraceae,20,28,60,90,5,20,30,60,6.0-7.5,"Moderate temperatures; High humidity (not free water); Poor air circulation"
Alternaria Leaf Blight (Alternaria spp.),Chamomile;Related Asteraceae,20,30,85,98,15,35,40,70,5.5-7.0,"Moderate to warm temperatures; High humidity; Leaf wetness; Plant stress"
Root Rot (Pythium spp.; Rhizoctonia solani),Chamomile;Many Herbaceous Plants,18,28,80,95,15,35,55,90,5.5-7.0,"Poor drainage; Overwatering; Infected soil or pots; Damping-off in seedlings"
Brown Rot (Monilinia fructigena/laxa),Cherry;Peach;Plum;Apricot;Almond,15,25,85,100,20,40,40,70,5.5-7.0,"Cool, wet during bloom (blossom blight); Warm, wet for fruit rot; Insect wounds; Rain; High humidity"
Bacterial Canker / Gummosis (Pseudomonas syringae pv. syringae/morsprunorum),Cherry;Apricot;Peach;Plum,10,20,80,95,15,35,40,70,6.0-7.5,"Cool, wet weather (spring/autumn); Frost damage; Wounds; Tree stress; Leaf scar infections in fall"
Cherry Leaf Spot (Blumeriella jaapii),Cherry (Sour > Sweet),16,24,90,100,15,30,45,75,6.0-7.5,"Moderate temperatures; Wet conditions; Rain splash disperses spores from fallen leaves; Leaf wetness duration (hours)"
Powdery Mildew (Podosphaera clandestina),Cherry;Peach;Plum,20,28,60,90,5,20,30,60,6.0-7.0,"Moderate temperatures; High humidity (not free water); Affects leaves, shoots, fruit (especially sweet cherry)"
X-disease (Phytoplasma),Cherry;Peach;Chokecherry (wild host),20,30,60,85,10,25,35,65,6.0-7.5,"Vector presence (Leafhoppers); Spread from infected wild hosts (Chokecherry); Grafting infected material"
Chestnut Blight (Cryphonectria parasitica),Chestnut (American > European/Chinese),20,30,80,95,10,30,40,70,4.5-6.5,"Moderate to warm temperatures; High humidity; Requires wounds for entry (insects, mechanical); Wind/rain splash dispersal"
Ink Disease (Phytophthora cinnamomi/cambivora),Chestnut;Oak,20,28,85,100,15,35,60,95,4.5-6.0,"Poor drainage; Waterlogged soils; Moderate soil temperatures; Soilborne; Affects roots and base of trunk"
Leaf Spot (Mycosphaerella maculiformis / Marssonina spp.),Chestnut,18,25,85,95,10,30,40,70,5.0-6.5,"Moderate temperatures; Wet weather; Rain splash; Overwinters on fallen leaves"
Damping-off (Pythium spp.; Rhizoctonia solani),Chia;Many Seedlings,18,25,85,100,10,30,60,90,5.5-7.5,"Cool, wet soil; Poor drainage; High soil moisture; Infected soil/media; Overcrowding"
Southern Blight / Stem Rot (Sclerotium rolfsii),Chia;Tomato;Peanut;Many Broadleaf Crops,25,35,85,95,15,30,50,85,5.0-7.0,"High temperature; High soil moisture alternating with dry periods; Soilborne sclerotia; Affects stem at soil line"
Fusarium Wilt (Fusarium oxysporum),Chia;Many Crops (host specific forms),24,30,70,90,10,25,40,80,5.5-7.0,"Warm soil temperatures; Soilborne; Plant stress; Persists in soil"
Ascochyta Blight (Ascochyta rabiei),Chickpea,15,20,85,100,10,30,45,75,6.0-8.0,"Cool, cloudy, humid weather; Frequent light rain; Leaf wetness duration (critical); Seedborne/stubble-borne; Wind/rain splash"
Fusarium Wilt (Fusarium oxysporum f.sp. ciceris),Chickpea,25,30,70,90,10,25,40,80,6.5-8.0,"Warm soil temperatures; Soilborne; Persists in soil for years; Drought stress can increase susceptibility"
Botrytis Gray Mold (BGM - Botrytis cinerea),Chickpea;Lentil;Faba Bean;Many Crops,18,24,90,100,15,35,50,80,6.0-7.5,"Cool, moist conditions during flowering/podding; High humidity; Dense canopy; Poor air circulation"
Collar Rot (Sclerotium rolfsii),Chickpea;Peanut;Tomato;Many Crops,25,35,85,95,15,30,50,85,5.5-7.5,"High temperature; High soil moisture alternating with dry periods; Soilborne sclerotia; Affects stem at soil line"
Dry Root Rot (Rhizoctonia bataticola / Macrophomina phaseolina),Chickpea;Soybean;Sorghum;Maize,30,35,60,80,5,20,30,60,6.0-8.0,"High soil temperatures; Drought stress (often occurs late season); Soilborne; Poor soil fertility"
Bacterial Spot (Xanthomonas campestris pv. vesicatoria),Chili Pepper;Tomato;Bell Pepper,24,30,85,95,15,35,45,75,6.0-7.5,"Warm, humid conditions; Rain splash; Overhead irrigation; Infected seed/transplants; Wounds"
Phytophthora Blight (Phytophthora capsici),Chili Pepper;Bell Pepper;Squash;Eggplant;Tomato,24,29,90,100,20,40,60,90,5.5-7.0,"Warm, wet conditions; Poorly drained soils; Waterlogged soil; Affects roots, stems, leaves, fruit; Soilborne"
Anthracnose (Colletotrichum spp.),Chili Pepper;Tomato;Bell Pepper;Mango;Avocado,24,30,85,98,20,40,50,80,5.5-7.0,"Warm, humid weather; Rain; High humidity; Fruit infection often occurs when green, develops upon ripening"
Powdery Mildew (Leveillula taurica),Chili Pepper;Tomato;Bell Pepper;Artichoke;Cotton,20,30,50,80,5,20,30,60,6.0-7.5,"Warm, dry conditions often favor this species (internal growth); Can tolerate lower humidity than Erysiphe spp."
White Rot (Sclerotium cepivorum),Chive;Onion;Garlic;Leek,15,20,80,95,10,25,50,80,5.0-7.0,"Cool soil temperatures; Soilborne sclerotia (long survival); High soil moisture favors sclerotia germination"
Downy Mildew (Peronospora destructor),Chive;Onion;Shallot;Garlic,10,18,90,100,10,25,50,80,6.0-7.5,"Cool, moist conditions; High humidity; Leaf wetness essential (dew, rain); Wind dispersal; Systemic infection possible"
Rust (Puccinia allii),Chive;Garlic;Onion;Leek,18,25,85,95,10,25,40,70,6.0-7.5,"Moderate temperatures; High humidity or dew required for spore germination; Wind dispersal"
Pink Root Rot (Phoma terrestris / Setophoma terrestris),Chive;Onion;Garlic,24,28,70,90,10,30,40,75,6.0-7.5,"Warm soil temperatures; Soilborne fungus; Plant stress (poor fertility, drought, other diseases)"
Leaf Blight/Dieback (Colletotrichum gloeosporioides; Pestalotiopsis spp.),Cinnamon,24,30,85,95,20,45,50,85,5.0-6.5,"Warm, humid conditions; High rainfall; Poor air circulation; Young leaves/shoots most susceptible"
Stripe Canker (Phytophthora cinnamomi),Cinnamon;Avocado;Pineapple;Many Woody Plants,21,27,80,100,15,35,60,95,4.5-6.0,"Poor drainage; Waterlogged soils; Moderate soil temperatures; Soilborne; Affects roots and stem base"
Sumatra Disease (Ralstonia syzygii),Clove,25,30,80,95,15,35,50,85,5.5-7.0,"Vector presence (Hindola spp. - tube-building spittlebugs); Warm temperatures; Spread via vectors and grafting"
Leaf Spot (Cylindrocladium quinqueseptatum),Clove,25,30,85,95,20,40,50,80,5.5-6.5,"Warm, humid conditions; High rainfall; Affects leaves, shoots, seedlings"
Dieback (Phytophthora spp.; Colletotrichum spp.),Clove,22,30,85,98,20,40,50,85,5.0-6.5,"High humidity; Rain splash; Plant stress; Wounds; Poor drainage (Phytophthora)"
Seedling Wilt/Rot (Pythium spp.; Rhizoctonia solani),Clove,20,28,85,100,15,35,60,90,5.5-7.0,"High moisture; Poor drainage in nursery beds; Infected soil; Damping-off symptoms"
Lethal Yellowing (Phytoplasma),Coconut;Other Palms,28,32,70,90,15,35,40,75,6.0-8.0,"Vector presence (Planthopper - Haplaxius crudus); High temperatures; Spreads via vectors and possibly root grafts"
Bud Rot (Phytophthora palmivora/katsurae),Coconut;Areca Nut;Oil Palm,22,28,95,100,30,60,60,90,5.0-6.5,"High rainfall; High humidity; Waterlogging; Wind-driven rain carrying spores to bud area"
Ganoderma Butt Rot / Basal Stem Rot,Coconut;Oil Palm;Areca Nut;Acai Berry,27,35,80,95,10,30,50,85,5.0-7.5,"Older palms; Tree stress (drought, lightning); Wounds near base; Poor drainage; Soilborne"
Leaf Spot (Pestalotiopsis palmarum),Coconut;Oil Palm;Areca Nut,25,30,80,95,15,35,40,70,5.5-7.0,"Humid conditions; Rain splash; Plant stress (nutrient deficiency); Affects older leaves primarily"
Stem Bleeding (Thielaviopsis paradoxa / Ceratocystis paradoxa),Coconut;Pineapple;Sugarcane,25,30,75,90,15,30,40,75,5.0-7.0,"Wounds on stem (harvesting, insect damage); High humidity; Spores spread by wind, rain, insects"
Coffee Leaf Rust (Hemileia vastatrix),Coffee (Arabica highly susceptible),21,28,85,95,10,30,40,70,5.0-6.5,"Moderate temperatures; High humidity/leaf wetness essential for spore germination/infection; Wind/rain dispersal"
Coffee Berry Disease (CBD - Colletotrichum kahawae),Coffee (Arabica),17,22,90,100,20,40,50,80,5.0-6.5,"Cooler temperatures within range; High humidity; Rain splash; Affects developing green berries"
Bacterial Blight / Halo Blight (Pseudomonas syringae pv. garcae),Coffee,18,25,85,95,15,35,45,75,5.5-7.0,"Cool to moderate temperatures; High humidity; Rain splash; Wind-driven rain; Wounds (hail)"
Root-Knot Nematodes (Meloidogyne spp.),Coffee;Tomato;Many Crops,25,30,60,85,10,30,40,75,5.0-7.0,"Warm soil temperatures; Sandy soils often favor; Affect root system causing galls, poor growth"
American Leaf Spot (Mycena citricolor / Stilbella flavida),Coffee,18,24,95,100,25,50,55,85,4.5-6.0,"Cool, very high humidity; Shade; Prolonged wetness; Spreads via rain splash and mycelial growth"
Anthracnose (Colletotrichum lindemuthianum),Common Bean;Kidney Bean;Lima Bean;Black Gram,18,26,90,100,15,30,40,75,5.5-7.0,"Cool to moderate temperatures; Wet conditions; Rain splash; Infected seed; Dense canopy; High humidity"
Bean Common Mosaic Virus (BCMV),Common Bean;Kidney Bean;Adzuki Bean;Soybean,20,30,50,80,5,25,30,65,6.0-7.5,"Aphid vector presence; Infected seed; Temperature influencing aphid activity/virus replication"
Angular Leaf Spot (Phaeoisariopsis griseola),Common Bean;Kidney Bean;Lima Bean,20,28,85,95,15,35,45,75,5.5-7.0,"Moderate temperatures; High humidity; Leaf wetness; Rain splash; Infected seed/debris"
Common Bacterial Blight (Xanthomonas axonopodis pv. phaseoli),Common Bean;Kidney Bean;Adzuki Bean,25,32,85,98,20,40,40,75,6.0-7.5,"Warm, humid weather; Rain splash; Wind-driven rain; Overhead irrigation; Infected seed"
Root Rot Complex (Fusarium solani f.sp. phaseoli; Pythium spp.; Rhizoctonia solani),Common Bean;Kidney Bean;Soybean;Pea,20,30,75,95,15,35,50,85,5.5-7.0,"Poor drainage; Soil compaction; Plant stress; Infected soil or debris; Different optima for each pathogen"
Powdery Mildew (Erysiphe spp.),Coriander;Carrot;Parsley;Dill,20,28,60,90,5,20,30,60,6.0-7.5,"Moderate temperatures; High humidity (but not free water); Poor air circulation; Dense planting"
Bacterial Leaf Spot (Pseudomonas syringae pv. coriandricola),Coriander,15,25,85,95,15,35,45,75,6.0-7.0,"Cool, wet conditions; Rain splash; Overhead irrigation; Infected seed"
Stem Gall (Protomyces macrosporus),Coriander;Fennel;Anise,15,25,85,95,10,30,50,80,6.0-7.5,"Cool temperatures; High soil moisture; Affects stems, petioles, flowers causing galls; Soilborne/seedborne"
Ramularia Leaf Spot (Ramularia coriandri),Coriander,15,22,85,95,10,30,40,70,6.0-7.0,"Cool, wet weather; Leaf wetness; Overwinters on debris or volunteer plants"
Gray Leaf Spot (Cercospora zeae-maydis),Corn (Maize),22,30,85,100,15,35,50,80,5.5-7.5,"Warm temperatures; High humidity; Long periods of leaf wetness (dew); Overwinters on residue"
Northern Corn Leaf Blight (NCLB - Exserohilum turcicum / Setosphaeria turcica),Corn (Maize),18,27,90,100,15,35,50,80,5.5-7.5,"Moderate temperatures; High humidity; Long periods of leaf wetness (dew); Overwinters on residue; Wind/rain splash"
Common Rust (Puccinia sorghi),Corn (Maize),16,25,95,100,10,30,45,75,6.0-7.5,"Cool to moderate temperatures; High humidity/dew essential for infection; Wind dispersal; Alternate host Oxalis"
Goss's Wilt and Blight (Clavibacter michiganensis subsp. nebraskensis),Corn (Maize),24,27,80,95,10,30,40,70,6.0-7.5,"Moderate to warm temperatures; High humidity; Wounds (hail, wind, insects); Overwinters on residue/seed"
Stalk Rot Complex (Gibberella zeae; Fusarium verticillioides; Diplodia maydis; etc.),Corn (Maize),25,32,80,95,15,35,50,85,5.5-7.5,"Varies by fungus; Stress conditions (drought, nutrient imbalance, insect damage); High humidity; Residue-borne"
Fusarium Wilt (Fusarium oxysporum f.sp. vasinfectum),Cotton;Okra,25,30,70,90,10,25,40,80,6.0-7.5,"Warm soil temperatures; Soilborne; Often associated with root-knot nematodes; Persists in soil"
Verticillium Wilt (Verticillium dahliae),Cotton;Tomato;Potato;Many Broadleaf Crops,21,27,70,90,10,25,40,75,6.5-8.0,"Cooler soil temperatures favor infection, symptoms express in warmer weather; Soilborne microsclerotia (long survival)"
Bacterial Blight / Angular Leaf Spot (Xanthomonas citri pv. malvacearum),Cotton,30,35,85,95,15,35,45,75,6.0-8.0,"Warm, wet conditions; Rain splash; Wind-driven rain; Infected seed/residue"
Target Spot (Corynespora cassiicola),Cotton;Soybean;Tomato;Cucumber,25,32,85,98,15,35,50,80,5.5-7.0,"Warm, humid conditions; High humidity within canopy; Leaf wetness; Overwinters on residue"
Cercospora Leaf Spot (Cercospora canescens/cruenta),Cowpea;Black Gram (Vigna mungo);Mung Bean,25,30,85,95,15,35,40,75,5.5-7.0,"Warm, humid conditions; High humidity; Rain splash; Dew; Infected seed or debris"
Fusarium Wilt (Fusarium oxysporum f.sp. tracheiphilum),Cowpea,25,30,70,90,10,25,40,80,5.5-7.0,"Warm soil temperatures; Soilborne; Persists in soil; Often worse in sandy soils"
Cowpea Aphid-Borne Mosaic Virus (CABMV),Cowpea;Other Legumes,20,30,50,80,5,25,30,65,6.0-7.5,"Aphid vector presence; Non-persistent transmission; Infected seed can be a source"
